appId,title,clusterLabel,clusterWeight,facebook_bart-large-mnli,roberta-large-mnli,valhalla_distilbart-mnli-12-9,cannabis,marijuana,hemp,weed,dispensary,cannabis_related
com.aksonov.PS,Positive Singles®: Herpes Date,0,0.4328287606,0.4252358675,0.5129770637,0.4024631083,0,0,0,0,0,0
com.volutopia.forgeofneon3d,Forge of Neon - 3D Sandbox Art,0,0.4328287606,0.5322188139,0.6510050893,0.4742735624,0,0,0,0,0,0
com.gzwegame.raiden,Galaxy Thunder: Space Invasion,0,0.4328287606,0.5301511288,0.4716171324,0.4058499932,0,0,0,0,0,0
com.fish.tankaddict,Reef Tank Addict,0,0.4328287606,0.3680267632,0.56890047,0.5464910269,0,0,0,0,0,0
com.chaostheorygames.bleachedaz,Bleached Az,0,0.4328287606,0.31652987,0.5477800369,0.3632723391,0,0,0,0,0,0
com.thenaturalherbs.healthcareshop,The Natural Herbs,0,0.4328287606,0.5240921974,0.5588679314,0.3539219797,0,0,0,0,0,0
com.macmillan.iclickercloudmobile,iClicker Instructor Remote,0,0.4328287606,0.5581408739,0.4744724035,0.487645179,0,0,0,0,0,0
Trabal.RainSound,Raindrops: Rain Sounds BGM,0,0.4328287606,0.4303138852,0.487020582,0.4559841752,0,0,0,0,0,0
com.givingtreedispensary.wallet,Giving Tree Dispensary,1,0.05534532,0.9890742302,0.9982725382,0.9911928773,1,1,0,0,2,1
com.cinder.cinder-cannabis,Cinder - Cannabis Redefined,1,0.05534532,0.9926649332,0.9817259312,0.9928846955,5,0,0,1,1,1
com.jane.jane-native-app,Jane: Find Cannabis Products,1,0.05534532,0.9724752307,0.95241487,0.9709753394,14,0,0,0,3,1
com.sunrisedispensary.wallet,Sunrise Dispensary,1,0.05534532,0.99484491,0.9987145662,0.9961127043,1,0,0,0,2,1
com.lenoxhillcannabis.catalog,Lenox Hill Cannabis,1,0.05534532,0.9966312051,0.9921586514,0.9970261455,1,0,0,0,1,1
com.livcannabislivcannaco.wallet,Highly Loyal Club,1,0.05534532,0.9895185232,0.84668392,0.9840865731,6,0,0,0,2,1
com.cureoahu.wallet,Cure Oahu,1,0.05534532,0.9834374785,0.9973244071,0.98839402,2,1,0,0,1,1
com.wallflower-house.wallflowerstore,Wallflower Cannabis Dispensary,1,0.05534532,0.996701777,0.99236,0.9959501624,1,0,0,0,2,1
com.navis.reefermonitor,Reefer Monitor,2,0.09129612,0.9628801942,0.9941176772,0.9825842977,0,0,0,0,0,0
com.awise.reefcon,Reef Delight Nicobar,2,0.09129612,0.8809019327,0.9839475155,0.9024671912,0,0,0,0,0,0
moshtare-ruruherbs,Ruru Herbs,2,0.09129612,0.8310288787,0.9865275025,0.8217595816,0,0,0,0,0,0
com.subsplashconsulting.KFJDJ8,The Home Church Rowland,2,0.09129612,0.8692837954,0.9842743874,0.8466819525,0,0,0,0,0,0
com.matjrah.saudiherb,سعودي هيرب | Saudi herb,2,0.09129612,0.95751715,0.7882856727,0.98099285,0,0,0,0,0,0
com.paytronix.taste,TASTEBud Rewards,2,0.09129612,0.9286358953,0.8920580149,0.9417256117,0,0,0,0,0,0
com.foodganj.delivery,FoodGanj Driver,2,0.09129612,0.9508401155,0.9792545438,0.9238998294,0,0,0,0,0,0
com.aromaticinfusions,Aromatic Infusions,2,0.09129612,0.9536759257,0.6153324246,0.8951852918,0,0,0,0,0,0
com.aws.weatherbug.elite,WeatherBug Elite,3,0.2440870388,0.4161856174,0.5193966031,0.8559785485,0,0,0,0,0,0
com.lawnstarter.lawnstarter,LawnStarter,3,0.2440870388,0.7608833909,0.637686193,0.5052658319,0,0,0,0,0,0
com.kj2147766703.app,LearningHerbs,3,0.2440870388,0.5506134629,0.9224236608,0.59878302,0,0,0,0,0,0
com.pdjapps.Trippin,Trippin,3,0.2440870388,0.7366662621,0.849458456,0.6627156138,0,0,0,0,0,0
com.grass.camping,GRASS - Outdoor Dating App,3,0.2440870388,0.6683669686,0.5207745433,0.8101114,0,0,0,0,0,0
com.thehealingcenter,The Healing Center (THC),3,0.2440870388,0.6675416231,0.6098486185,0.68712503,0,0,0,0,0,0
berton.united.Aimora,Aimora AI Girlfriend Simulator,3,0.2440870388,0.5991266966,0.474529475,0.5492901802,0,0,0,0,0,0
com.studiorouleau.bakingtime,Baking Time!,3,0.2440870388,0.57453984,0.5675999522,0.7398437262,0,0,0,0,0,0
com.420mateapp,Blazr - 420 Dating & Chat,4,0.02649006623,0.9903197885,0.9400601387,0.9812512398,5,1,0,0,0,1
com.Foxnomad.GrassFoxapp,GrassFox,4,0.02649006623,0.99498564,0.8854863048,0.9843100905,5,1,0,0,0,1
com.budalchemist.app,BudAlchemist: Weed Strain Quiz,4,0.02649006623,0.9920555353,0.87301159,0.9903892875,8,2,0,3,0,1
com.kushkabana.kushkabana,Kush Kabana,4,0.02649006623,0.9922301173,0.8863733411,0.9918214679,2,1,0,0,0,1
com.pelicandelivers.iosuserprod,Pelican Delivers Marketplace,4,0.02649006623,0.9973723888,0.9423807263,0.9820218086,3,1,0,3,0,1
com.dispensary.medicine.woman,Medicine Woman,4,0.02649006623,0.9948359728,0.982239902,0.995970428,8,1,0,2,4,1
com.arcasolutions.builder2070484418,HERBAGE MAGAZINE,4,0.02649006623,0.9886417985,0.9468726516,0.985942781,12,1,0,0,0,1
com.magazinecloner.weedworld3,Weed World Magazine,4,0.02649006623,0.9498562217,0.8196054101,0.98655653,6,3,0,4,0,1
com.cultivatedispensarylasvegas.wallet,Cultivate Dispensary Las Vegas,5,0.0302743614,0.95071411,0.9367992282,0.96659786,0,0,0,0,1,1
com.havendispensaries.wallet,Haven Dispensaries,5,0.0302743614,0.9718108773,0.9957757592,0.9846737385,0,0,0,0,1,1
ca.lbcstudios.tastybuds,Tasty Buds - Match 3 Idle,5,0.0302743614,0.9377066493,0.6946761012,0.9457007051,0,0,0,0,2,0
com.enlightened.ecom,Revolution Dispensary,5,0.0302743614,0.9699326158,0.96119094,0.9874381423,0,0,0,0,4,1
com.uforianm.store,UFORIA,5,0.0302743614,0.9814046025,0.9896971583,0.9936931729,0,0,0,0,1,0
com.bestdispensary.app,Best Dispensary,5,0.0302743614,0.919864893,0.9952578545,0.94848526,0,0,0,0,2,1
com.420connect.Dispensary,BLAZE Retail | Point of Sale,5,0.0302743614,0.9328304529,0.8513538837,0.89715976,0,0,0,0,1,1
com.riptdispensary.wallet,RIPT Dispensary,5,0.0302743614,0.9107903242,0.9869553447,0.9308083057,0,0,0,0,2,1
com.okieweedfinder,OkieWeedFinder,6,0.08514664,0.9953677654,0.99804103,0.9971632957,2,0,0,0,0,1
com.socialcannabis.wallet,Social Cannabis,6,0.08514664,0.9903736711,0.9948294759,0.9870597124,3,0,0,0,0,1
com.ganjatrack.app,GanjaTrack,6,0.08514664,0.993979454,0.9274945855,0.9565147758,9,0,0,0,0,1
com.theplug.customer,The Plug Delivery,6,0.08514664,0.97722036,0.9902994,0.98697591,1,0,0,0,0,1
com.frassbox.wallet,Frass Box,6,0.08514664,0.9686424732,0.875526011,0.9609671235,3,0,0,0,0,1
com.buzzcannabis.wallet,Buzz Cannabis,6,0.08514664,0.9941158891,0.9986328483,0.9964216948,2,0,0,0,0,1
com.brettsterwarellc.WeedStor,WeedStōr,6,0.08514664,0.9976856112,0.9984558821,0.9975153804,1,0,0,0,0,1
com.theflowery.wallet,The Flowery,6,0.08514664,0.9941823483,0.9984642267,0.99693471,2,0,0,0,0,1
com.gk.mowing,Mowing Master,7,0.03453169,0.7449012995,0.6254208088,0.85304618,0,0,0,1,0,0
com.iapp.vibin,Vibin Weed Emoji Keyboard,7,0.03453169,0.9921643138,0.9922204614,0.99176663,1,0,0,2,0,1
com.emojiworld.imessage.Weed-New,Weed Emoji New,7,0.03453169,0.9986489415,0.9985096455,0.9988475442,1,0,0,2,0,1
com.scaleup.plantid,Plant App: Plant Identifier,7,0.03453169,0.5974242687,0.5115824342,0.5656325817,0,0,0,3,0,0
com.invogue.drugdealer,Drug Mafia - Grand Weed Gang,7,0.03453169,0.983786881,0.9956423044,0.9840794802,0,0,0,1,0,1
com.connects.weedspot,The Weed Spot,7,0.03453169,0.945140779,0.8699893355,0.9824414849,0,0,7,7,0,1
com.adhdstudios.weedbakery,Weed Bakery,7,0.03453169,0.9941421151,0.9956232905,0.9937540889,0,2,0,4,0,1
com.LavaProject.harvesteridle,Harvester idle : cut the weed,7,0.03453169,0.9737027287,0.9927411079,0.966511488,0,0,0,1,0,0